ID_Empleado,Cargo,Edad,Salario,Horas_trabajadas,Nivel_Educativo
E00164,Coordinador,51,9428655,200,Profesional
E00165,Coordinador,37,10659652,222,Maestría
E00166,Coordinador,43,8375762,198,Profesional
E00167,Coordinador,30,8747704,197,Profesional
E00168,Coordinador,48,9102450,175,Profesional
E00169,Coordinador,50,8138027,189,Maestría
E00170,Coordinador,52,8737138,173,Maestría
E00171,Coordinador,49,7375494,168,Profesional
E00172,Coordinador,44,10644358,207,Maestría
E00173,Coordinador,35,9793990,188,Maestría
E00174,Coordinador,42,10238582,165,Maestría
E00175,Coordinador,33,8569229,173,Profesional
E00176,Coordinador,47,9013531,163,Maestría
E00177,Coordinador,48,8884278,211,Profesional
E00178,Coordinador,40,10081044,212,Maestría
E00179,Coordinador,40,10056906,216,Maestría
E00180,Coordinador,50,8791192,173,Maestría
E00181,Coordinador,49,8444949,180,Maestría
E00182,Coordinador,36,8174753,202,Profesional
E00183,Coordinador,46,10463775,171,Maestría
E00184,Coordinador,38,6904084,177,Profesional
E00185,Coordinador,40,8814707,225,Maestría
E00186,Coordinador,51,9093201,164,Profesional
E00187,Coordinador,32,8789242,173,Maestría
E00188,Coordinador,34,8407668,160,Maestría
E00189,Coordinador,54,8670980,177,Maestría
E00190,Coordinador,49,9930915,163,Maestría
E00191,Coordinador,47,9029660,200,Profesional
E00192,Coordinador,53,8032994,168,Profesional
E00193,Coordinador,43,11593538,182,Maestría
E00194,Coordinador,48,9530849,187,Maestría
E00195,Coordinador,52,11475582,169,Maestría
E00196,Coordinador,47,9651619,221,Maestría
E00197,Coordinador,45,9061857,172,Maestría
E00198,Coordinador,39,10303410,208,Maestría
E00199,Coordinador,44,9978085,177,Maestría
E00200,Coordinador,48,8880941,171,Profesional
E00201,Coordinador,34,11008366,188,Maestría
E00202,Coordinador,33,8647751,175,Maestría
E00203,Coordinador,49,10900533,174,Maestría
E00204,Coordinador,44,9700054,202,Profesional
E00205,Coordinador,37,10322024,166,Profesional
E00206,Coordinador,47,7857835,179,Profesional
E00207,Coordinador,44,8593467,187,Profesional
E00208,Coordinador,33,9903671,199,Maestría
E00209,Coordinador,54,8464285,192,Profesional
E00210,Coordinador,49,7763986,224,Maestría
E00211,Coordinador,31,8368183,228,Profesional
E00212,Coordinador,48,10427397,171,Maestría
E00213,Coordinador,33,8465433,195,Profesional
E00214,Coordinador,42,7769712,182,Maestría
E00215,Coordinador,33,9454565,205,Profesional
E00216,Coordinador,41,7897144,187,Maestría
E00217,Coordinador,53,10511926,180,Maestría
E00218,Coordinador,42,10787734,161,Maestría
E00219,Coordinador,30,10669741,165,Maestría
E00220,Coordinador,52,11004346,178,Profesional
E00221,Coordinador,37,8967418,213,Profesional
E00222,Coordinador,46,9339646,202,Maestría
E00223,Coordinador,42,8562721,184,Profesional
E00224,Coordinador,51,11090641,210,Maestría
E00225,Coordinador,33,9306825,204,Profesional
E00226,Coordinador,30,7897017,205,Profesional
E00227,Coordinador,40,11899427,169,Maestría
E00228,Coordinador,52,10149819,199,Maestría
E00229,Coordinador,54,9366247,180,Maestría
E00230,Coordinador,52,9329193,209,Maestría
E00231,Coordinador,31,9202799,207,Maestría
E00232,Coordinador,46,9199874,196,Maestría
E00233,Coordinador,31,9197016,225,Profesional
E00234,Coordinador,47,8308734,220,Profesional
E00235,Coordinador,53,8395539,205,Profesional
E00236,Coordinador,44,9324036,189,Profesional
E00237,Coordinador,43,9483441,207,Profesional
E00238,Coordinador,47,7318861,227,Profesional
E00239,Coordinador,44,10483700,160,Maestría
E00240,Coordinador,41,7973765,180,Profesional
E00241,Coordinador,33,10574209,184,Maestría
E00242,Coordinador,39,10972840,178,Maestría
E00243,Coordinador,46,9439829,170,Profesional
E00244,Coordinador,38,8769126,187,Profesional
E00245,Coordinador,41,9227474,191,Profesional
E00246,Coordinador,44,8726064,198,Profesional
E00247,Coordinador,52,10907716,214,Maestría
E00248,Coordinador,47,12402152,174,Maestría
E00249,Coordinador,53,9475320,191,Profesional
E00250,Coordinador,54,9283420,206,Maestría
E00251,Coordinador,52,9982122,187,Maestría
E00252,Coordinador,36,6718245,227,Profesional
E00253,Coordinador,35,9962043,163,Maestría
E00254,Coordinador,54,11301304,164,Maestría
E00255,Coordinador,50,8210913,162,Profesional
E00256,Coordinador,31,11874804,163,Maestría
E00257,Coordinador,49,10296892,223,Maestría
E00258,Coordinador,35,8287514,186,Maestría
E00259,Coordinador,33,10850926,160,Maestría
E00260,Coordinador,32,9911124,187,Maestría
E00261,Coordinador,38,8561170,179,Profesional
E00262,Coordinador,35,8611492,225,Profesional
E00263,Coordinador,34,9331562,223,Maestría
E00264,Coordinador,32,8876317,215,Maestría
E00265,Coordinador,34,9194844,223,Maestría
E00266,Coordinador,40,10797615,202,Maestría
E00267,Coordinador,41,7744911,203,Profesional
E00268,Coordinador,36,7526802,174,Profesional
E00269,Coordinador,30,7924183,210,Profesional
E00270,Coordinador,52,8668808,163,Profesional
E00271,Coordinador,30,9724648,213,Maestría
E00272,Coordinador,31,11014539,208,Profesional
E00273,Coordinador,33,8232482,217,Profesional
E00274,Coordinador,34,9513843,197,Maestría
E00275,Coordinador,53,9329959,196,Profesional
E00276,Coordinador,43,7501872,197,Profesional
E00277,Coordinador,45,8742825,211,Profesional
E00278,Coordinador,35,8551833,166,Profesional
E00279,Coordinador,41,9767349,181,Profesional
E00280,Coordinador,41,10068603,194,Maestría
E00281,Coordinador,50,9071988,162,Profesional
E00282,Coordinador,49,10354063,167,Maestría
E00283,Coordinador,53,10694986,210,Maestría
E00284,Coordinador,30,10271669,165,Profesional
E00285,Coordinador,44,9420580,171,Profesional
E00286,Coordinador,49,9594386,195,Maestría
E00287,Coordinador,42,7200725,229,Profesional
E00288,Coordinador,33,11653443,165,Maestría
E00289,Coordinador,30,9522907,193,Profesional
E00290,Coordinador,30,10303847,215,Maestría
E00291,Coordinador,40,9620427,225,Maestría
E00292,Coordinador,31,8547650,170,Profesional
E00293,Coordinador,40,8761748,166,Profesional
E00294,Coordinador,40,10512385,166,Maestría
E00295,Coordinador,33,10022102,164,Maestría
E00296,Coordinador,35,8777336,198,Maestría
E00297,Coordinador,51,8882789,178,Profesional
E00298,Coordinador,47,12137973,222,Maestría
E00299,Coordinador,50,8256653,173,Profesional
E00300,Coordinador,34,10754583,184,Maestría
E00301,Coordinador,53,9681355,213,Profesional
E00302,Coordinador,44,8499772,202,Profesional
E00303,Coordinador,36,9806786,195,Maestría
E00304,Coordinador,44,11037418,215,Maestría
E00305,Coordinador,37,9808427,211,Maestría
E00306,Coordinador,51,8943366,198,Profesional
E00307,Coordinador,35,9464442,189,Maestría
E00308,Coordinador,41,10945874,167,Maestría
E00309,Coordinador,37,11769768,181,Maestría
E00310,Coordinador,32,7911496,176,Maestría
E00311,Coordinador,37,11215842,180,Maestría
E00312,Analista Senior,40,8231950,180,Maestría
E00313,Analista Senior,46,5444245,212,Profesional
E00314,Analista Senior,37,7469585,214,Maestría
E00315,Analista Senior,49,8264899,215,Maestría
E00316,Analista Senior,37,8481477,196,Profesional
E00317,Analista Senior,41,6810647,202,Profesional
E00318,Analista Senior,47,9560177,174,Maestría
E00319,Analista Senior,42,6978233,196,Profesional
E00320,Analista Senior,34,7839574,215,Profesional
E00321,Analista Senior,38,7699110,170,Maestría
E00322,Analista Senior,43,7497800,200,Profesional
E00323,Analista Senior,28,7020768,169,Maestría
E00324,Analista Senior,31,9093724,176,Maestría
E00325,Analista Senior,33,7193210,167,Maestría
E00326,Analista Senior,41,8420946,193,Maestría
E00327,Analista Senior,41,7315040,200,Profesional
E00328,Analista Senior,45,9816533,227,Maestría
E00329,Analista Senior,44,7264040,167,Profesional
E00330,Analista Senior,37,8195941,198,Maestría
E00331,Analista Senior,47,7764139,207,Maestría
E00332,Analista Senior,31,8750605,167,Maestría
E00333,Analista Senior,41,7283035,184,Profesional
E00334,Analista Senior,32,7801018,206,Maestría
E00335,Analista Senior,44,6804777,209,Profesional
E00336,Analista Senior,41,6338606,162,Profesional
E00337,Analista Senior,28,7067166,219,Profesional
E00338,Analista Senior,39,4741538,180,Profesional
E00339,Analista Senior,35,6058323,224,Profesional
E00340,Analista Senior,47,7455006,182,Profesional
E00341,Analista Senior,47,7871895,196,Maestría
E00342,Analista Senior,46,7517707,186,Profesional
E00343,Analista Senior,46,8028279,222,Profesional
E00344,Analista Senior,40,8747278,181,Maestría
E00345,Analista Senior,39,8488047,165,Maestría
E00346,Analista Senior,32,6809178,204,Profesional
E00347,Analista Senior,39,8882309,207,Maestría
E00348,Analista Senior,33,8045472,181,Maestría
E00349,Analista Senior,44,10062060,184,Maestría
E00350,Analista Senior,39,6921135,170,Profesional
E00351,Analista Senior,34,8404803,169,Maestría
E00352,Analista Senior,32,7776479,220,Profesional
E00353,Analista Senior,34,8678830,201,Maestría
E00354,Analista Senior,36,6076228,226,Profesional
E00355,Analista Senior,37,8114363,194,Maestría
E00356,Analista Senior,44,6699174,189,Profesional
E00357,Analista Senior,29,6684189,183,Profesional
E00358,Analista Senior,35,9100972,161,Maestría
E00359,Analista Senior,41,8244679,197,Maestría
E00360,Analista Senior,48,7071789,210,Maestría
E00361,Analista Senior,33,7837357,208,Profesional
E00362,Analista Senior,31,7353283,190,Profesional
E00363,Analista Senior,48,7737399,225,Profesional
E00364,Analista Senior,38,9526023,215,Maestría
E00365,Analista Senior,39,7563609,183,Maestría
E00366,Analista Senior,42,8146769,166,Maestría
E00367,Analista Senior,47,6965865,173,Profesional
E00368,Analista Senior,44,8028828,195,Maestría
E00369,Analista Senior,29,5060769,216,Profesional
E00370,Analista Senior,38,6580886,219,Maestría
E00371,Analista Senior,48,7937788,204,Maestría
E00372,Analista Senior,34,7423094,207,Profesional
E00373,Analista Senior,33,6583445,188,Profesional
E00374,Analista Senior,49,7734444,191,Profesional
E00375,Analista Senior,30,6634814,213,Profesional
E00376,Analista Senior,42,6835485,173,Profesional
E00377,Analista Senior,37,8758067,160,Maestría
E00378,Analista Senior,40,7494499,171,Maestría
E00379,Analista Senior,37,6595277,184,Profesional
E00380,Analista Senior,48,7722039,173,Profesional
E00381,Analista Senior,47,7252876,217,Profesional
E00382,Analista Senior,49,7525644,172,Maestría
E00383,Analista Senior,43,5872121,197,Profesional
E00384,Analista Senior,30,6686332,201,Profesional
E00385,Analista Senior,29,6955235,213,Profesional
E00386,Analista Senior,42,6587983,197,Profesional
E00387,Analista Senior,32,7746739,206,Maestría
E00388,Analista Senior,28,6864954,181,Profesional
E00389,Analista Senior,44,7733678,203,Maestría
E00390,Analista Senior,36,10186585,163,Maestría
E00391,Analista Senior,33,7517268,168,Maestría
E00392,Analista Senior,28,5963935,168,Profesional
E00393,Analista Senior,37,7514075,226,Profesional
E00394,Analista Senior,30,8389604,168,Maestría
E00395,Analista Senior,48,9599937,205,Maestría
E00396,Analista Senior,42,6892196,227,Profesional
E00397,Analista Senior,42,6102939,178,Profesional
E00398,Analista Senior,38,7340089,189,Maestría
E00399,Analista Senior,43,7589269,185,Profesional
E00400,Analista Senior,29,7655886,179,Profesional
E00401,Analista Senior,40,7145607,172,Profesional
E00402,Analista Senior,41,6883104,174,Profesional
E00403,Analista Senior,40,8584502,198,Maestría
E00404,Analista Senior,31,9361364,177,Profesional
E00405,Analista Senior,42,8854137,196,Maestría
E00406,Analista Senior,34,8702021,170,Maestría
E00407,Analista Senior,49,7768555,222,Maestría
E00408,Analista Senior,44,8524983,183,Maestría
E00409,Analista Senior,46,6289118,174,Profesional
E00410,Analista Senior,44,7374938,165,Profesional
E00411,Analista Senior,31,9632561,189,Maestría
E00412,Analista Senior,45,7535323,202,Profesional
E00413,Analista Senior,44,6662068,167,Profesional
E00414,Analista Senior,40,6868176,165,Maestría
E00415,Analista Senior,37,7603552,163,Profesional
E00416,Analista Senior,42,6722453,196,Profesional
E00417,Analista Senior,45,7860863,164,Profesional
E00418,Analista Senior,43,7206049,185,Profesional
E00419,Analista Senior,36,6526212,178,Profesional
E00420,Analista Senior,39,8475405,171,Maestría
E00421,Analista Senior,34,6837385,161,Profesional
E00422,Analista Senior,48,8842799,176,Maestría
E00423,Analista Senior,28,7496199,201,Profesional
E00424,Analista Senior,36,7660389,201,Maestría
E00425,Analista Senior,31,7074453,201,Profesional
E00426,Analista Senior,40,7064769,192,Maestría
E00427,Analista Senior,37,6740525,172,Profesional
E00428,Analista Senior,38,7224910,186,Profesional
E00429,Analista Senior,35,7222905,169,Maestría
E00430,Analista Senior,37,7012415,217,Profesional
E00431,Analista Senior,29,7663092,204,Maestría
E00432,Analista Senior,30,7712402,201,Maestría
E00433,Analista Senior,49,6679003,181,Profesional
E00434,Analista Senior,37,8189942,168,Maestría
E00435,Analista Senior,40,7495502,160,Profesional
E00436,Analista Senior,44,7188416,182,Maestría
E00437,Analista Senior,45,7632071,163,Maestría
E00438,Analista Senior,45,9844227,208,Maestría
E00439,Analista Senior,33,8423698,204,Maestría
E00440,Analista Senior,41,5369515,198,Profesional
E00441,Analista Senior,49,7362959,161,Profesional
E00442,Analista Senior,32,6894806,186,Profesional
E00443,Analista Senior,31,7806734,184,Profesional
E00444,Analista Senior,49,7456276,169,Maestría
E00445,Analista Senior,40,5405854,191,Profesional
E00446,Analista Senior,37,8131001,199,Profesional
E00447,Analista Senior,30,7039200,195,Profesional
E00448,Analista Senior,48,6268211,213,Profesional
E00449,Analista Senior,38,6788184,206,Profesional
E00450,Analista Senior,45,7012154,192,Profesional
E00451,Analista Senior,48,6897536,198,Profesional
E00452,Analista Senior,44,8199971,173,Maestría
E00453,Analista Senior,39,7698004,223,Maestría
E00454,Analista Senior,49,6519904,189,Profesional
E00455,Analista Senior,30,8577791,205,Maestría
E00456,Analista Senior,31,7007462,183,Profesional
E00457,Analista Senior,49,7612890,219,Maestría
E00458,Analista Senior,45,8514378,229,Maestría
E00459,Analista Senior,45,8030740,223,Maestría
E00460,Analista Senior,48,7939276,167,Profesional
E00461,Analista Senior,40,8041366,164,Profesional
E00462,Analista Senior,33,5723548,182,Profesional
E00463,Analista Senior,48,8002381,203,Profesional
E00464,Analista Senior,42,8283207,172,Maestría
E00465,Analista Senior,48,8689729,185,Maestría
E00466,Analista Senior,34,6489898,178,Profesional
E00467,Analista Senior,35,7020209,189,Maestría
E00468,Analista Senior,41,8207554,199,Maestría
E00469,Analista Senior,49,6812047,228,Profesional
E00470,Analista Senior,41,10690163,196,Maestría
E00471,Analista Senior,42,7572439,214,Profesional
E00472,Analista Senior,29,7992655,183,Maestría
E00473,Analista Senior,32,7356302,161,Maestría
E00474,Analista Senior,34,8573704,177,Maestría
E00475,Analista Senior,28,6265642,205,Profesional
E00476,Analista Senior,40,9611713,176,Maestría
E00477,Analista Senior,45,8468244,175,Maestría
E00478,Analista Senior,42,7374364,209,Profesional
E00479,Analista Senior,33,7343789,173,Profesional
E00480,Analista Senior,40,8396589,226,Maestría
E00481,Analista Senior,30,7837382,218,Maestría
E00482,Analista Senior,28,9114784,196,Maestría
E00483,Analista Senior,47,6731059,161,Profesional
E00484,Analista Senior,40,5873042,206,Profesional
E00485,Analista Senior,45,8399476,219,Maestría
E00486,Analista Senior,39,6918555,225,Profesional
E00487,Analista Senior,41,7860738,168,Maestría
E00488,Analista Senior,44,5866016,210,Profesional
E00489,Analista Senior,45,9135964,195,Maestría
E00490,Analista Senior,33,7686274,185,Maestría
E00491,Analista Senior,39,6154290,220,Profesional
E00492,Analista Senior,35,7679106,214,Profesional
E00493,Analista Senior,39,8188363,193,Maestría
E00494,Analista Senior,45,9227661,226,Maestría
E00495,Analista Senior,49,7910939,218,Maestría
E00496,Analista Senior,44,8177250,190,Profesional
E00497,Analista Senior,38,8628489,185,Maestría
E00498,Analista Senior,28,7342509,209,Maestría
E00499,Analista Senior,47,7868281,207,Maestría
E00500,Analista Senior,38,6702732,221,Profesional
E00501,Analista Senior,44,7618478,162,Profesional
E00502,Analista Senior,46,7499779,209,Maestría
E00503,Analista Senior,29,7748386,167,Maestría
E00504,Analista Senior,48,8597255,209,Maestría
E00505,Analista Senior,33,6853689,169,Profesional
E00506,Analista Senior,45,9104490,207,Maestría
E00507,Analista Senior,48,7728662,165,Maestría
E00508,Analista Senior,31,7923561,171,Profesional
E00509,Analista Senior,42,9599551,184,Maestría
E00510,Analista Senior,31,7998143,190,Profesional
E00511,Analista Senior,29,9218811,189,Maestría
E00512,Analista Senior,46,9185136,192,Maestría
E00513,Analista Senior,31,7844349,215,Maestría
E00514,Analista Senior,29,8226306,194,Maestría
E00515,Analista Senior,46,8482155,188,Maestría
E00516,Analista Senior,43,6825707,221,Profesional
E00517,Analista Senior,46,9123521,192,Maestría
E00518,Analista Senior,30,7955392,188,Maestría
E00519,Analista Senior,39,5862835,174,Profesional
E00520,Analista Senior,42,7667418,168,Profesional
E00521,Analista Senior,29,8057389,170,Profesional
E00522,Analista Senior,43,5781839,227,Profesional
E00523,Analista Senior,32,6706376,196,Profesional
E00524,Analista Senior,41,7096118,181,Profesional
E00525,Analista Senior,35,8189747,209,Profesional
E00526,Analista Senior,37,6220389,208,Profesional
E00527,Analista Senior,45,8243697,217,Maestría
E00528,Analista Senior,35,7473444,166,Profesional
E00529,Analista Senior,39,9803039,217,Maestría
E00530,Analista Senior,38,8021679,177,Profesional
E00531,Analista Senior,39,8435839,210,Maestría
E00532,Analista Senior,38,7373638,169,Profesional
E00533,Analista Senior,39,6896024,207,Profesional
E00534,Analista Senior,30,8807567,217,Maestría
E00535,Analista Senior,48,5767411,167,Profesional
E00536,Analista Senior,42,7056535,184,Profesional
E00537,Analista Senior,48,7278406,223,Maestría
E00538,Analista Senior,30,7862464,213,Profesional
E00539,Analista Senior,42,5890686,216,Profesional
E00540,Analista Senior,29,6893078,170,Profesional
E00541,Analista Senior,33,7145216,176,Maestría
E00542,Analista Senior,33,6360773,213,Profesional
E00543,Analista Senior,44,7286606,185,Profesional
E00544,Analista Senior,34,7602074,187,Profesional
E00545,Analista Senior,43,8123669,196,Maestría
E00546,Analista Senior,42,9276013,209,Maestría
E00547,Analista Senior,30,7213424,179,Maestría
E00548,Analista Senior,34,6370520,178,Profesional
E00549,Analista Senior,30,7421418,203,Maestría
E00550,Analista Senior,38,7547757,208,Maestría
E00551,Analista Senior,37,5859451,213,Profesional
E00552,Analista Senior,44,6514087,216,Profesional
E00553,Analista Senior,33,6299951,219,Profesional
E00554,Analista Senior,47,8081382,220,Maestría
E00555,Analista Senior,37,6275552,171,Profesional
E00556,Analista Senior,29,5198379,207,Profesional
E00557,Analista Senior,34,8666845,210,Maestría
E00558,Analista Senior,42,6468750,226,Profesional
E00559,Analista Senior,38,8109237,166,Profesional
E00560,Analista Senior,38,7632746,198,Maestría
E00561,Analista Senior,44,7040561,179,Profesional
E00562,Analista Senior,38,7136953,173,Profesional
E00563,Analista Senior,44,8520307,184,Maestría
E00564,Analista Senior,41,9126578,174,Maestría
E00565,Analista Senior,32,7257713,162,Profesional
E00566,Analista Senior,34,6823417,192,Profesional
E00567,Analista Senior,49,5229423,199,Profesional
E00568,Analista Senior,30,7216442,208,Profesional
E00569,Analista Senior,45,7665094,218,Maestría
E00570,Analista Senior,34,6363066,199,Profesional
E00571,Analista Senior,37,9029607,160,Profesional
E00572,Analista Senior,46,6351938,187,Profesional
E00573,Analista Senior,44,6162675,196,Profesional
E00574,Analista Senior,35,7570621,191,Profesional
E00575,Analista Senior,40,9465418,201,Maestría
E00576,Analista Senior,40,7829950,200,Maestría
E00577,Analista Senior,33,8111321,228,Maestría
E00578,Analista Senior,49,8762967,190,Maestría
E00579,Analista Senior,34,8477494,202,Maestría
E00580,Analista Senior,36,7966492,167,Maestría
E00581,Analista Senior,30,7361131,174,Profesional
E00582,Analista Senior,42,7194483,227,Profesional
E00583,Analista Senior,29,9719585,175,Maestría
E00584,Analista Senior,43,6029828,195,Profesional
E00585,Analista Senior,39,8807452,163,Maestría
E00586,Analista Senior,36,7531627,216,Maestría
E00587,Analista Senior,49,6636368,199,Profesional
